Temperature,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Pressure,Wind Speed
11,0,0,0,79.76,0.08,1035,5.4
11,0,0,0,79.76,0.08,1035,5.4
11,0,0,0,79.76,0.08,1035,5.3
11.1,0,0,0,79.23,0.08,1035,5.3
11.1,0,0,0,80.25,0.08,1035,5.3
11.1,0,0,0,80.25,0.08,1035,5.3
11.1,0,0,0,80.25,0.08,1035,5.3
11.2,0,0,0,79.65,0.08,1034,5.2
11.2,0,0,0,79.65,0.08,1034,5.2
11.2,0,0,0,79.65,0.08,1034,5.2
11.3,0,0,0,80.19,0.08,1034,5.2
11.3,0,0,0,80.19,0.08,1034,5.1
11.3,0,0,0,80.19,0.08,1034,5.1
11.3,0,0,0,80.19,0.08,1034,5.1
11.4,0,0,0,79.66,0.08,1034,5.1
11.4,0,0,0,79.66,0.08,1034,5.1
11.4,0,0,0,80.63,0.08,1034,5.1
11.5,0,0,0,80.1,0.08,1034,5.1
11.5,0,0,0,80.1,0.08,1034,5.1
11.5,0,0,0,80.1,0.08,1034,5.1
11.6,0,0,0,79.58,0.08,1034,5.1
11.6,0,0,0,79.58,0.08,1034,5.1
11.6,0,0,0,80.46,0.08,1034,5.1
11.7,0,0,0,79.93,0.08,1034,5.1
11.7,0,0,0,79.93,0.08,1034,5.1
11.7,0,0,0,79.93,0.08,1034,5
11.7,0,0,0,79.93,0.08,1034,5
11.7,0,0,0,79.93,0.08,1034,5
11.8,0,0,0,80.29,0.08,1034,5
11.8,0,0,0,80.29,0.08,1034,4.9
11.8,0,0,0,80.29,0.08,1034,4.9
11.8,0,0,0,80.29,0.08,1034,4.9
11.8,0,0,0,80.29,0.08,1034,4.8
11.8,0,0,0,80.29,0.08,1034,4.8
11.8,0,0,0,80.9,0.08,1034,4.7
11.8,0,0,0,80.9,0.08,1034,4.7
11.8,0,0,0,80.9,0.08,1034,4.7
11.9,0,0,0,80.37,0.08,1034,4.7
12,0,0,0,79.84,0.08,1034,4.7
12.1,0,0,0,79.32,0.08,1034,4.8
12.2,0,0,0,80.5,0.08,1034,4.8
12.3,2,0,2,79.97,0.08,1034,4.9
12.4,3,0,3,79.45,0.08,1034,4.9
12.4,5,0,5,79.45,0.08,1034,4.9
12.4,6,0,6,79.45,0.08,1034,4.9
12.4,8,0,8,79.45,0.08,1034,4.9
12.4,10,0,10,79.45,0.08,1034,4.9
12.4,12,0,12,79.45,0.08,1034,4.9
16.5,100,46,112,79.15,0.08,1037,5.2
16.6,116,95,144,78.65,0.08,1037,5.2
16.6,131,140,175,78.65,0.08,1037,5.2
16.7,132,301,237,78.15,0.08,1037,5.3
16.8,131,394,280,77.89,0.08,1037,5.3
16.9,145,388,302,77.4,0.08,1037,5.3
17,149,431,334,76.92,0.08,1037,5.3
17,146,587,413,76.92,0.08,1037,5.3
17.1,202,271,331,76.43,0.08,1037,5.3
17.2,205,326,368,75.95,0.08,1037,5.3
17.2,229,79,270,76.37,0.08,1037,5.3
17.3,203,19,213,75.89,0.08,1037,5.3
17.4,214,22,227,75.42,0.08,1037,5.3
17.4,249,55,280,75.42,0.08,1037,5.3
17.5,253,49,282,74.94,0.08,1037,5.3
17.5,210,11,216,74.94,0.08,1037,5.3
17.5,216,12,223,75.29,0.08,1036,5.3
17.6,235,19,246,74.82,0.08,1036,5.2
17.6,225,13,234,74.82,0.08,1036,5.2
17.7,265,33,286,74.35,0.08,1036,5.2
17.7,218,10,224,74.35,0.08,1036,5.2
17.7,181,2,182,74.35,0.08,1036,5.2
17.7,256,23,272,74.62,0.08,1035,5.2
17.7,294,55,330,74.62,0.08,1035,5.2
17.8,317,111,391,74.15,0.08,1035,5.1
17.8,271,32,292,74.15,0.08,1035,5.1
17.8,182,2,183,74.15,0.08,1035,5.2
17.8,148,0,148,74.15,0.08,1035,5.2
17.8,215,9,221,74.58,0.08,1035,5.2
17.8,240,19,252,74.51,0.08,1034,5.2
17.8,295,94,355,74.51,0.08,1034,5.2
17.8,297,165,400,74.51,0.08,1034,5.2
17.8,276,72,320,74.51,0.08,1034,5.2
17.8,249,39,273,74.51,0.08,1034,5.2
17.8,241,38,263,74.81,0.08,1034,5.2
17.8,252,73,294,74.81,0.08,1034,5.2
17.8,242,71,281,74.81,0.08,1034,5.3
17.8,213,33,230,74.81,0.08,1034,5.3
17.7,205,34,222,75.28,0.08,1034,5.3
17.7,190,26,203,75.28,0.08,1034,5.2
17.7,204,105,253,75.46,0.08,1034,5.2
17.7,192,180,271,75.46,0.08,1034,5.2
17.6,163,314,294,75.93,0.08,1034,5.2
17.6,156,270,261,75.93,0.08,1034,5.2
17.5,138,464,307,76.41,0.08,1034,5.1
17.5,131,435,276,76.41,0.08,1034,5.1
17.5,119,420,247,76.86,0.08,1034,5
17.4,110,383,215,77.35,0.08,1034,5
17.4,100,343,184,77.35,0.08,1034,4.9
17.3,89,298,152,77.84,0.08,1034,4.9
17.3,77,249,122,77.84,0.08,1034,4.8
17.2,64,197,92,78.33,0.08,1034,4.7
17.2,48,157,66,79.04,0.08,1034,4.7
17.1,28,19,29,79.54,0.08,1034,4.6
17.1,14,0,14,79.54,0.08,1034,4.5
17,0,0,0,80.05,0.08,1034,4.5
17,0,0,0,80.05,0.08,1034,4.5
17,0,0,0,80.05,0.08,1034,4.4
17,0,0,0,80.39,0.08,1035,4.4
17,0,0,0,80.39,0.08,1035,4.4
17,0,0,0,80.39,0.08,1035,4.3
17,0,0,0,80.39,0.08,1035,4.3
16.9,0,0,0,80.9,0.08,1035,4.3
16.9,0,0,0,80.9,0.08,1035,4.3
16.9,0,0,0,81.04,0.08,1035,4.3
16.9,0,0,0,81.04,0.08,1035,4.2
16.9,0,0,0,81.04,0.08,1035,4.2
16.9,0,0,0,81.04,0.08,1035,4.2
16.9,0,0,0,81.04,0.08,1035,4.2
16.9,0,0,0,81.04,0.08,1035,4.2
16.9,0,0,0,81.66,0.08,1035,4.2
17,0,0,0,81.07,0.08,1034,4.2
17,0,0,0,81.07,0.08,1034,4.2
17,0,0,0,81.07,0.08,1034,4.2
17,0,0,0,81.07,0.08,1034,4.2
17,0,0,0,81.07,0.08,1034,4.2
17.1,0,0,0,81.37,0.08,1034,4.2
17.1,0,0,0,81.37,0.08,1034,4.2
17.1,0,0,0,81.37,0.08,1034,4.2
17.1,0,0,0,81.37,0.08,1034,4.2
17.1,0,0,0,81.37,0.08,1034,4.2
17.1,0,0,0,81.37,0.08,1034,4.2
17.2,0,0,0,81.63,0.08,1034,4.2
17.2,0,0,0,81.63,0.08,1034,4.1
17.2,0,0,0,81.63,0.08,1034,4.1
17.2,0,0,0,81.63,0.08,1034,4.1
17.2,0,0,0,81.55,0.08,1033,4.1
17.2,0,0,0,81.55,0.08,1033,4.1
17.2,0,0,0,81.9,0.08,1033,4
17.3,0,0,0,81.39,0.08,1033,4
17.3,0,0,0,81.39,0.08,1033,4
17.3,0,0,0,81.39,0.08,1033,4
17.3,0,0,0,81.39,0.08,1033,3.9
17.3,0,0,0,81.39,0.08,1033,3.9
17.3,0,0,0,81.25,0.08,1033,3.9
17.3,0,0,0,81.25,0.08,1033,3.9
17.3,0,0,0,81.25,0.08,1033,3.9
17.3,0,0,0,81.25,0.08,1033,3.9
17.3,0,0,0,81.25,0.08,1033,3.8
17.3,0,0,0,81.25,0.08,1033,3.8
17.3,0,0,0,81.13,0.08,1033,3.8
17.3,0,0,0,81.13,0.08,1033,3.8
17.3,0,0,0,81.13,0.08,1033,3.8
17.2,0,0,0,81.65,0.08,1033,3.8
17.2,0,0,0,81.65,0.08,1033,3.7
17.2,0,0,0,81.57,0.08,1032,3.7
17.2,0,0,0,81.41,0.08,1032,3.7
17.2,0,0,0,81.41,0.08,1032,3.7
17.2,0,0,0,81.41,0.08,1032,3.7
17.2,0,0,0,81.41,0.08,1032,3.6
17.2,0,0,0,81.41,0.08,1032,3.6
17.2,0,0,0,81.41,0.08,1032,3.6
17.2,0,0,0,81.33,0.08,1032,3.6
17.2,0,0,0,81.33,0.08,1032,3.6
17.2,0,0,0,81.33,0.08,1032,3.5
17.1,0,0,0,81.84,0.08,1032,3.5
17.1,0,0,0,81.84,0.08,1032,3.5
17.1,0,0,0,81.84,0.08,1032,3.5
17.1,0,0,0,81.8,0.08,1032,3.5
17.1,0,0,0,81.8,0.08,1032,3.5
17.1,0,0,0,81.8,0.08,1032,3.4
17.1,0,0,0,81.8,0.08,1032,3.4
17.1,0,0,0,81.8,0.08,1032,3.4
17.1,0,0,0,81.88,0.08,1033,3.4
17.1,0,0,0,81.69,0.08,1033,3.4
17.1,0,0,0,81.69,0.08,1033,3.4
17.1,0,0,0,81.69,0.08,1033,3.4
17.1,0,0,0,81.69,0.08,1033,3.3
17.1,0,0,0,81.69,0.08,1033,3.3
17.1,0,0,0,81.69,0.08,1033,3.3
17,0,0,0,81.79,0.08,1033,3.3
17,0,0,0,81.79,0.08,1033,3.3
17,0,0,0,81.79,0.08,1033,3.3
17.2,0,0,0,80.77,0.08,1033,3.3
17.5,0,0,0,79.25,0.08,1033,3.3
17.7,0,0,0,78.26,0.08,1033,3.3
17.9,0,0,0,80.62,0.08,1034,3.3
18.1,10,0,10,79.62,0.08,1034,3.3
18.3,23,72,27,78.63,0.08,1034,3.3
18.3,36,242,59,78.63,0.08,1034,3.3
18.3,44,215,71,78.63,0.08,1034,3.3
18.3,55,260,97,78.63,0.08,1034,3.3
18.3,65,298,123,78.63,0.08,1034,3.3
18.3,75,334,151,78.63,0.08,1034,3.3
19.6,84,369,179,73.43,0.07,1034,3.7
19.7,98,354,201,72.98,0.07,1034,3.7
19.9,84,612,279,72.08,0.07,1034,3.8
20,88,641,311,71.64,0.07,1034,3.8
20.2,91,669,343,71.13,0.07,1034,3.8
20.4,95,692,374,70.26,0.07,1034,3.8
20.5,98,712,403,69.83,0.07,1034,3.8
20.6,100,731,432,69.4,0.07,1034,3.8
20.7,103,747,460,68.97,0.07,1034,3.8
20.9,105,761,485,68.13,0.07,1034,3.8
21,106,777,511,68.02,0.07,1034,3.8
21.1,108,788,535,67.6,0.07,1034,3.8
21.2,109,799,557,67.19,0.07,1034,3.8
21.3,224,426,470,66.78,0.07,1034,3.7
21.3,166,627,537,66.78,0.07,1034,3.7
21.4,114,823,613,66.31,0.07,1033,3.7
21.5,128,798,623,66.84,0.07,1033,3.7
21.6,129,804,636,66.43,0.07,1033,3.7
21.6,130,808,648,66.43,0.07,1033,3.7
21.7,131,812,658,66.03,0.07,1033,3.7
21.7,195,623,603,65.97,0.07,1032,3.7
21.8,267,437,556,65.56,0.07,1032,3.6
21.8,205,604,607,66.62,0.07,1032,3.6
21.9,197,631,618,66.22,0.07,1032,3.6
21.9,264,456,569,66.22,0.07,1032,3.6
21.9,240,511,581,66.22,0.07,1032,3.6
21.9,130,823,677,66.15,0.07,1031,3.7
21.9,217,563,589,66.15,0.07,1031,3.7
21.9,206,588,590,66.72,0.07,1031,3.7
22,128,816,656,66.31,0.07,1031,3.7
22,127,812,645,66.31,0.07,1031,3.7
21.9,126,807,632,66.72,0.07,1031,3.7
21.9,125,801,618,66.72,0.07,1031,3.8
21.9,124,794,602,66.72,0.07,1031,3.8
21.8,123,784,583,67.17,0.07,1031,3.8
21.8,122,775,564,67.17,0.07,1031,3.8
21.8,120,765,543,67.17,0.07,1031,3.9
21.7,118,754,520,67.58,0.07,1031,3.9
21.6,115,742,496,68,0.07,1031,3.9
21.6,113,728,470,68,0.07,1031,3.9
21.5,110,711,444,68.25,0.07,1031,3.9
21.4,107,694,416,68.67,0.07,1031,3.9
21.3,104,674,386,69.09,0.07,1031,3.9
21.2,100,653,357,69.51,0.07,1031,3.8
21.1,96,628,326,69.94,0.07,1031,3.8
20.9,92,600,294,70.8,0.07,1031,3.7
20.8,87,569,262,72.48,0.07,1031,3.6
20.6,82,533,230,73.38,0.07,1031,3.5
20.5,76,493,197,73.83,0.07,1031,3.4
20.3,69,448,165,74.74,0.07,1031,3.4
20,61,396,133,76.14,0.07,1031,3.3
19.8,53,335,102,77.16,0.07,1032,3.3
19.6,43,265,73,76.63,0.07,1032,3.2
19.3,32,187,47,78.07,0.07,1032,3.2
19.1,20,105,24,79.05,0.07,1032,3.1
19.1,0,0,0,79.05,0.07,1032,3.1
19,0,0,0,79.54,0.07,1032,3.1
18.9,0,0,0,80.03,0.07,1032,3.1
18.9,0,0,0,79.3,0.07,1032,3.1
18.8,0,0,0,79.8,0.07,1032,3.1
18.7,0,0,0,80.29,0.07,1032,3.1
18.7,0,0,0,80.29,0.07,1032,3.1
18.7,0,0,0,80.29,0.07,1032,3.1
18.6,0,0,0,80.87,0.07,1033,3
18.6,0,0,0,80.59,0.07,1033,3
18.6,0,0,0,80.59,0.07,1033,3
18.5,0,0,0,81.1,0.07,1033,3
18.5,0,0,0,81.1,0.07,1033,3
18.5,0,0,0,81.1,0.07,1033,3
18.5,0,0,0,81.1,0.07,1033,3
18.4,0,0,0,81.21,0.07,1033,3
18.4,0,0,0,81.21,0.07,1033,3
18.4,0,0,0,81.21,0.07,1033,2.9
18.4,0,0,0,81.21,0.07,1033,2.9
18.3,0,0,0,81.72,0.07,1033,2.9
18.3,0,0,0,81.72,0.07,1033,2.9
18.3,0,0,0,81.18,0.07,1033,2.9
18.3,0,0,0,81.18,0.07,1033,2.9
18.3,0,0,0,81.18,0.07,1033,2.9
18.2,0,0,0,81.61,0.07,1032,2.9
18.2,0,0,0,81.61,0.07,1032,2.9
18.2,0,0,0,81.61,0.07,1032,2.9
18.2,0,0,0,81.16,0.07,1032,2.9
18.1,0,0,0,81.66,0.07,1032,2.9
18.1,0,0,0,81.66,0.07,1032,2.9
18.1,0,0,0,81.66,0.07,1032,2.9
18.1,0,0,0,81.66,0.07,1032,2.9
18.1,0,0,0,81.66,0.07,1032,2.8
18,0,0,0,82.01,0.07,1032,2.8
18,0,0,0,82.01,0.07,1032,2.8
18,0,0,0,82.01,0.07,1032,2.8
18,0,0,0,81.93,0.07,1031,2.8
18,0,0,0,81.93,0.07,1031,2.8
17.9,0,0,0,82.44,0.07,1031,2.8
17.9,0,0,0,82.48,0.07,1031,2.7
17.9,0,0,0,82.48,0.07,1031,2.7
17.9,0,0,0,82.48,0.07,1031,2.7
17.9,0,0,0,82.48,0.07,1031,2.7
17.9,0,0,0,82.48,0.07,1031,2.7
17.8,0,0,0,83,0.07,1031,2.7
17.8,0,0,0,83.13,0.07,1031,2.7
17.8,0,0,0,83.13,0.07,1031,2.7
17.8,0,0,0,83.13,0.07,1031,2.6
17.8,0,0,0,83.13,0.07,1031,2.6
17.8,0,0,0,83.13,0.07,1031,2.6
17.8,0,0,0,83.13,0.07,1031,2.6
17.7,0,0,0,83.96,0.07,1031,2.6
17.7,0,0,0,83.87,0.07,1030,2.6
17.7,0,0,0,83.87,0.07,1030,2.6
17.7,0,0,0,83.87,0.07,1030,2.6
17.7,0,0,0,83.87,0.07,1030,2.6
17.7,0,0,0,83.87,0.07,1030,2.6
17.7,0,0,0,84.28,0.07,1030,2.6
17.7,0,0,0,84.28,0.07,1030,2.6
17.7,0,0,0,84.28,0.07,1030,2.6
17.7,0,0,0,84.28,0.07,1030,2.6
17.7,0,0,0,84.28,0.07,1030,2.6
17.7,0,0,0,84.28,0.07,1030,2.6
17.7,0,0,0,84.63,0.07,1030,2.6
17.7,0,0,0,84.63,0.07,1030,2.6
17.7,0,0,0,84.71,0.07,1031,2.6
17.7,0,0,0,84.71,0.07,1031,2.6
17.7,0,0,0,84.71,0.07,1031,2.6
17.7,0,0,0,84.71,0.07,1031,2.6
17.7,0,0,0,84.92,0.07,1031,2.6
17.7,0,0,0,84.92,0.07,1031,2.6
17.7,0,0,0,84.92,0.07,1031,2.6
17.7,0,0,0,84.92,0.07,1031,2.6
17.7,0,0,0,84.92,0.07,1031,2.6
17.7,0,0,0,84.92,0.07,1031,2.6
17.7,0,0,0,84.99,0.07,1031,2.6
17.7,0,0,0,84.99,0.07,1031,2.6
17.7,0,0,0,84.99,0.07,1031,2.6
17.9,0,0,0,83.93,0.07,1031,2.6
18.1,0,0,0,82.89,0.07,1031,2.6
18.3,0,0,0,81.86,0.07,1031,2.6
18.5,0,0,0,83.88,0.07,1031,2.6
18.7,6,0,6,82.84,0.07,1031,2.5
18.9,16,0,16,81.82,0.07,1031,2.5
18.9,36,216,57,81.82,0.07,1031,2.5
18.9,47,290,84,81.82,0.07,1031,2.5
18.9,56,356,114,81.82,0.07,1031,2.5
18.9,71,23,75,81.82,0.07,1031,2.5
18.9,85,38,94,81.82,0.07,1031,2.5
20.4,100,52,113,75.31,0.08,1032,3
20.5,116,119,150,74.84,0.08,1032,3.1
20.7,130,102,163,73.93,0.08,1032,3.1
20.8,144,105,181,73.48,0.08,1032,3.1
21,98,630,335,72.61,0.08,1032,3.1
21.2,102,653,366,71.72,0.08,1032,3.1
21.3,106,674,395,71.29,0.08,1032,3.1
21.4,109,693,424,70.85,0.08,1032,3.1
21.5,112,710,451,70.42,0.08,1032,3.1
21.6,205,323,367,69.99,0.08,1032,3.1
21.7,117,738,502,70.31,0.08,1032,3.1
21.8,234,287,390,69.88,0.08,1032,3.1
21.9,242,302,411,69.46,0.08,1032,3.1
21.9,268,179,371,69.46,0.08,1032,3.1
22,277,186,387,68.97,0.08,1031,3.1
22,266,57,300,68.97,0.08,1031,3.1
22.1,273,59,310,69.58,0.08,1031,3.1
22.1,299,123,376,69.58,0.08,1031,3.1
22.2,307,172,417,69.16,0.08,1031,3.1
22.2,312,169,422,69.16,0.08,1031,3.1
22.2,310,237,466,69.1,0.08,1030,3.1
22.2,297,325,513,69.1,0.08,1030,3.1
22.3,284,387,541,69.29,0.08,1030,3.1
22.3,272,432,561,69.29,0.08,1030,3.1
22.3,313,264,490,69.29,0.08,1030,3.1
22.3,288,373,537,69.22,0.08,1029,3.1
22.3,275,415,551,69.22,0.08,1029,3.1
22.3,128,818,669,69.22,0.08,1029,3.1
22.3,126,819,663,69.41,0.08,1029,3.1
22.3,125,816,654,69.41,0.08,1029,3.1
22.3,125,812,643,69.41,0.08,1029,3.2
22.3,124,807,631,69.41,0.08,1029,3.2
22.2,123,801,617,69.83,0.08,1029,3.2
22.2,121,794,601,69.83,0.08,1029,3.2
22.2,120,786,583,69.73,0.08,1029,3.2
22.1,119,777,563,70.09,0.08,1028,3.3
22.1,117,767,542,70.09,0.08,1028,3.3
22,115,756,520,70.51,0.08,1028,3.3
21.9,113,744,496,70.94,0.08,1028,3.3
21.9,110,730,471,70.94,0.08,1028,3.3
21.8,107,716,444,71.23,0.08,1028,3.3
21.7,104,699,417,71.66,0.08,1028,3.4
21.6,101,680,388,72.1,0.08,1028,3.4
21.5,98,659,358,72.54,0.08,1028,3.3
21.4,94,635,327,72.98,0.08,1028,3.3
21.2,90,608,296,73.88,0.08,1028,3.2
21.1,85,580,264,75.12,0.08,1028,3.2
20.9,79,546,232,76.05,0.08,1028,3.2
20.8,74,506,199,76.59,0.08,1029,3.1
20.6,67,462,167,77.54,0.08,1029,3
20.3,60,410,135,78.98,0.08,1029,3
20.1,52,350,105,79.96,0.08,1029,2.9
19.9,43,284,76,79.89,0.08,1029,2.9
19.7,32,206,49,80.88,0.08,1029,2.8
19.5,21,120,27,81.89,0.08,1029,2.7
19.4,0,0,0,82.4,0.08,1029,2.7
19.4,0,0,0,82.4,0.08,1029,2.7
19.3,0,0,0,82.91,0.08,1029,2.7
19.3,0,0,0,82.29,0.08,1030,2.7
19.2,0,0,0,82.8,0.08,1030,2.7
19.2,0,0,0,82.8,0.08,1030,2.7
19.1,0,0,0,83.32,0.08,1030,2.7
19.1,0,0,0,83.32,0.08,1030,2.7
19.1,0,0,0,83.32,0.08,1030,2.6
19,0,0,0,83.49,0.08,1030,2.6
19,0,0,0,83.49,0.08,1030,2.6
19,0,0,0,83.49,0.08,1030,2.6
19,0,0,0,83.49,0.08,1030,2.6
18.9,0,0,0,84.01,0.08,1030,2.6
18.9,0,0,0,84.01,0.08,1030,2.6
18.9,0,0,0,83.93,0.08,1030,2.6
18.9,0,0,0,83.93,0.08,1030,2.5
18.9,0,0,0,83.93,0.08,1030,2.5
18.8,0,0,0,84.46,0.08,1030,2.5
18.8,0,0,0,84.46,0.08,1030,2.5
18.8,0,0,0,84.46,0.08,1030,2.5
18.8,0,0,0,84.47,0.08,1030,2.5
18.8,0,0,0,84.47,0.08,1030,2.5
18.7,0,0,0,85,0.08,1030,2.5
18.7,0,0,0,85,0.08,1030,2.5
18.7,0,0,0,85,0.08,1030,2.5
18.7,0,0,0,85,0.08,1030,2.5
18.7,0,0,0,85.07,0.08,1030,2.5
18.6,0,0,0,85.6,0.08,1030,2.5
18.6,0,0,0,85.6,0.08,1030,2.5
18.6,0,0,0,85.6,0.08,1030,2.5
18.6,0,0,0,85.6,0.08,1030,2.5
18.6,0,0,0,85.6,0.08,1030,2.5
18.6,0,0,0,85.79,0.08,1030,2.5
18.6,0,0,0,85.7,0.08,1029,2.5
18.5,0,0,0,86.24,0.08,1029,2.4
18.5,0,0,0,86.24,0.08,1029,2.4
18.5,0,0,0,86.24,0.08,1029,2.4
18.5,0,0,0,86.24,0.08,1029,2.4
18.5,0,0,0,86.66,0.08,1029,2.4
18.5,0,0,0,86.66,0.08,1029,2.4
18.4,0,0,0,87.2,0.08,1029,2.4
18.4,0,0,0,87.2,0.08,1029,2.4
18.4,0,0,0,87.2,0.08,1029,2.4
18.4,0,0,0,87.2,0.08,1029,2.4
18.4,0,0,0,87.66,0.08,1029,2.4
18.4,0,0,0,87.66,0.08,1029,2.4
18.4,0,0,0,87.57,0.08,1028,2.4
18.4,0,0,0,87.57,0.08,1028,2.4
18.4,0,0,0,87.57,0.08,1028,2.4
18.3,0,0,0,88.12,0.08,1028,2.4
18.3,0,0,0,88.55,0.08,1028,2.4
18.3,0,0,0,88.55,0.08,1028,2.4
18.3,0,0,0,88.55,0.08,1028,2.4
18.3,0,0,0,88.55,0.08,1028,2.4
18.3,0,0,0,88.55,0.08,1028,2.5
18.3,0,0,0,88.55,0.08,1028,2.5
18.3,0,0,0,88.91,0.08,1028,2.5
18.3,0,0,0,88.91,0.08,1028,2.5
18.3,0,0,0,88.91,0.08,1028,2.5
18.3,0,0,0,88.91,0.08,1028,2.5
18.3,0,0,0,88.91,0.08,1028,2.5
18.3,0,0,0,88.91,0.08,1028,2.5
18.3,0,0,0,89.11,0.08,1028,2.5
18.3,0,0,0,89.11,0.08,1028,2.5
18.2,0,0,0,89.67,0.08,1028,2.5
18.2,0,0,0,89.67,0.08,1028,2.5
18.2,0,0,0,89.67,0.08,1028,2.5
18.2,0,0,0,89.76,0.08,1029,2.5
18.2,0,0,0,89.76,0.08,1029,2.5
18.2,0,0,0,89.76,0.08,1029,2.4
18.2,0,0,0,89.76,0.08,1029,2.4
18.2,0,0,0,89.76,0.08,1029,2.4
18.2,0,0,0,89.76,0.08,1029,2.4
18.2,0,0,0,89.76,0.08,1029,2.4
18.2,0,0,0,89.5,0.08,1029,2.3
18.2,0,0,0,89.5,0.08,1029,2.3
18.2,0,0,0,89.5,0.08,1029,2.3
18.4,0,0,0,88.48,0.08,1030,2.3
18.6,0,0,0,87.38,0.08,1030,2.3
18.8,0,0,0,86.3,0.08,1030,2.2
19,0,0,0,87.38,0.08,1030,2.2
19.2,7,0,7,86.3,0.08,1030,2.2
19.4,21,0,21,85.24,0.08,1030,2.2
19.4,36,191,54,85.24,0.08,1030,2.2
19.4,48,263,81,85.24,0.08,1030,2.2
19.4,58,327,110,85.24,0.08,1030,2.2
19.4,67,383,141,85.24,0.08,1030,2.2
19.4,75,432,172,85.24,0.08,1030,2.2
20.8,82,476,204,79.18,0.08,1030,2.7
20.9,88,514,236,78.7,0.08,1030,2.8
21.1,94,548,268,77.81,0.08,1031,2.8
21.2,99,578,300,77.34,0.08,1031,2.8
21.4,102,609,331,76.93,0.08,1031,2.9
21.6,106,633,362,76,0.08,1031,2.9
21.7,110,654,391,75.54,0.08,1031,3
21.8,114,673,419,75.08,0.08,1031,3
21.9,117,690,447,74.55,0.08,1030,3
22,120,706,473,74.1,0.08,1030,3
22.1,120,725,498,73.97,0.08,1030,3
22.2,122,738,522,73.52,0.08,1030,3
22.3,124,749,544,73.07,0.08,1030,3.1
22.4,126,758,564,72.63,0.08,1030,3.1
22.4,128,767,583,72.63,0.08,1030,3.1
22.5,129,775,600,72.12,0.08,1029,3.1
22.6,122,799,618,71.75,0.08,1029,3.1
22.6,123,805,632,71.75,0.08,1029,3.2
22.7,124,809,644,71.32,0.08,1029,3.2
22.7,125,813,654,71.32,0.08,1029,3.2
22.7,125,817,663,71.32,0.08,1029,3.2
22.7,126,819,669,71.25,0.08,1028,3.3
22.8,123,827,675,70.9,0.08,1028,3.3
22.8,123,830,679,70.9,0.08,1028,3.3
22.8,123,830,680,70.9,0.08,1028,3.3
22.8,123,830,679,70.9,0.08,1028,3.4
22.8,123,829,676,70.83,0.08,1027,3.4
22.8,123,827,671,70.83,0.08,1027,3.5
22.8,120,830,665,70.89,0.08,1027,3.5
22.8,119,827,656,70.89,0.08,1027,3.6
22.8,118,823,646,70.89,0.08,1027,3.6
22.7,117,816,632,71.32,0.08,1027,3.7
22.7,116,810,618,71.32,0.08,1027,3.8
22.6,115,804,602,71.75,0.08,1027,3.9
22.6,118,787,582,71.59,0.08,1027,3.9
22.5,116,778,563,72.02,0.08,1027,4
22.5,115,769,542,72.02,0.08,1027,4.1
22.4,113,758,520,72.46,0.08,1027,4.1
22.3,110,745,496,72.9,0.08,1027,4.2
22.2,108,732,471,73.34,0.08,1027,4.2
22.1,107,711,444,73.66,0.08,1027,4.3
22,104,694,416,74.11,0.08,1027,4.3
21.9,101,675,387,74.56,0.08,1027,4.4
21.8,98,654,357,75.02,0.08,1027,4.4
21.6,94,630,327,75.94,0.08,1027,4.3
21.5,90,603,296,76.4,0.08,1027,4.3
21.3,86,569,263,78,0.08,1027,4.2
21.2,81,534,231,78.48,0.08,1027,4.2
21,75,495,199,79.44,0.08,1027,4.1
20.8,68,450,167,80.5,0.08,1028,4.1
20.6,61,399,135,81.49,0.08,1028,4
20.4,53,339,104,82.5,0.08,1028,3.9
20.2,43,268,75,82.8,0.08,1028,3.8
20,30,42,34,83.83,0.08,1028,3.7
19.8,21,112,27,84.87,0.08,1028,3.6
19.7,10,38,11,85.39,0.08,1028,3.6
19.7,0,0,0,85.39,0.08,1028,3.6
19.6,0,0,0,85.92,0.08,1028,3.6
19.6,0,0,0,85.55,0.08,1029,3.6
19.5,0,0,0,86.08,0.08,1029,3.6
19.5,0,0,0,86.08,0.08,1029,3.6
19.4,0,0,0,86.61,0.08,1029,3.6
19.4,0,0,0,86.61,0.08,1029,3.6
19.4,0,0,0,86.61,0.08,1029,3.6
19.3,0,0,0,87.07,0.08,1029,3.6
19.3,0,0,0,87.07,0.08,1029,3.6
19.3,0,0,0,87.07,0.08,1029,3.6
19.3,0,0,0,87.07,0.08,1029,3.6
19.3,0,0,0,87.07,0.08,1029,3.6
19.2,0,0,0,87.61,0.08,1029,3.6
19.2,0,0,0,87.18,0.08,1029,3.6
19.2,0,0,0,87.18,0.08,1029,3.6
19.2,0,0,0,87.27,0.08,1030,3.6
19.2,0,0,0,87.27,0.08,1030,3.7
19.2,0,0,0,87.27,0.08,1030,3.7
19.2,0,0,0,87.27,0.08,1030,3.7
19.2,0,0,0,86.93,0.08,1030,3.7
19.2,0,0,0,86.93,0.08,1030,3.7
19.2,0,0,0,86.93,0.08,1030,3.7
19.2,0,0,0,86.93,0.08,1030,3.7
19.2,0,0,0,86.84,0.08,1029,3.7
19.2,0,0,0,86.84,0.08,1029,3.7
19.1,0,0,0,87.11,0.08,1029,3.7
19.1,0,0,0,87.11,0.08,1029,3.7
